ID	Subcategory	Question	Answer	Comment	Source
Econ_1	Trade	The government should increase tariffs on products imported into the country	3	"I strongly support imposing stiff penalties on countries like China, Russia, South Korea and Vietnam to prevent them from illegally dumping steel and aluminum into the U.S. and throughout the world." Yet, "it simply makes no sense to start a trade war with Canada, the European Union and others who are engaged in fair trade, are not cheating and where workers are paid a living wage with good benefits."	https://www.sanders.senate.gov/newsroom/press-releases/sanders-statement-on-trump-tariffs
Econ_2	Fiscal	Current taxes on the rich are too low and should be increased	5	Substantially increase the top marginal tax rate on income above $10 million.	https://berniesanders.com/issues/demand-that-the-wealthy-large-corporations-and-wall-street-pay-their-fair-share-in-taxes/
Econ_3	Fiscal	We should reduce taxes on the middle class	1	"People who have health care under Medicare for all will have no premiums, no deductibles, no co-payments, no out-of-pocket expenses. Yes, they will pay more in taxes but less in health care for what they get."	https://www.cnsnews.com/news/article/melanie-arter/sen-bernie-sanders-admits-he-will-raise-taxes-middle-class-pay-universal
Econ_4	Fiscal	The government should address reducing the national debt through higher taxes or reduced spending	3	I believe that we should be asking the very wealthiest people in this country to start paying their fair share of taxes.  That way, we will not only lower the deficit but we will bring in enough revenue to invest in our economy and create the millions of new jobs we desperately need.	https://www.sanders.senate.gov/top10
Econ_5	Industry	The government should support (through grants, tax breaks, subsidies) the clean energy sector	5	Supports the Green New Deal, which calls for government support to transition the United States to use 100% renewable, zero-emission energy sources	https://berniesanders.com/issues/combat-climate-change-and-pass-a-green-new-deal/
Econ_6	Industry	The government should break up the mega-tech firms (Alphabet, Facebook, Amazon) into smaller competing firms	5	Asked on Capitol Hill by POLITICO whether he backed such calls for antitrust action against the social networking company, Sanders replied, “The answer is yes of course.”	https://www.politico.com/story/2019/05/15/sanders-backs-calls-to-break-up-facebook-1327881
Econ_7	Industry	I support a public single-payer healthcare system	5	Section 107 of Sanders's bill outlaws “private health insurer to sell health insurance coverage that duplicates the benefits provided under this Act"	https://www.govtrack.us/congress/bills/116/s1129/text
Social_1	Education	Higher education should be tuition free (publically funded)	5	Pass the College for All Act to provide at least $48 billion per year to eliminate tuition and fees at four-year public colleges and universities, tribal colleges, community colleges, trade schools, and apprenticeship programs. Everyone deserves the right to a good higher education if they choose to pursue it, no matter their income.	https://berniesanders.com/issues/college-for-all/
Social_2	Education	The government should forgive outstanding student debt	5	Cancel the entire $1.6 trillion in outstanding student debt for the 45 million borrowers who are weighed down by the crushing burden of student debt. This will save around $3,000 a year for the average student loan borrower.	https://berniesanders.com/issues/college-for-all/
Social_4	Gun Control	The government should introduce a gun buy-back program	3	Voluntary buybacks may be one option to remove from society those weapons already in private hands.	https://www.thetrace.org/2019/06/democratic-candidates-2020-gun-policy/
Social_5	Criminal Justice	Death penalty should be ended at state and federal levels	5	"Abolish the death penalty"	https://twitter.com/berniesanders/status/1143942651999412225
Social_6	Criminal Justice	Government should allow clemency plans for non-violent drug offenders currently incarcerated	3	No data	
Social_8	Criminal Justice	Marijuana should be legalized at the state and federal levels	5	Legalize and erase marijuana convictions	https://feelthebern.org/bernie-sanders-on-drug-policy/
Social_10	Church-State	The government should provide all women free access to abortion facilities and cover costs of care	5	Abortion is healthcare	https://www.sanders.senate.gov/newsroom/video-audio/abortion-is-health-care
Social_11	Democracy	Citizens united should be overturned	5	"We must repeal Citizens United, move to public funding of elections and end voter suppression and gerrymandering."	https://www.sanders.senate.gov/newsroom/video-audio/overturn-citizens-united
Foreign_1	Unilateralism	President should be required to come to Congress for an authorization of the use of military force (AUMF)	5	"Allow Congress to reassert its Constitutional role in warmaking, so that no president can wage unauthorized and unconstitutional interventions overseas"	https://berniesanders.com/issues/enact-a-responsible-comprehensive-foreign-policy/
Foreign_2	Unilateralism	Israel meets international standards of human rights	1	"Israel Should Be Condemned" For Killing Unarmed Protesters	https://www.realclearpolitics.com/video/2018/05/15/bernie_sanders_israel_should_be_condemned_for_killing_unarmed_protesters.html
Foreign_3	Interventionism	We should bring U.S. troops home from America's post-9/11 wars without delay	5	I would withdraw U.S. military forces from Afghanistan as expeditiously as possible	https://www.cfr.org/article/presidential-candidates-war-afghanistan
Foreign_4	Interventionism	Illegal immigration is a major national security problem in the US	1	"If you open the borders, my God, there's a lot of poverty in this world, and you're going to have people from all over the world. And I don't think that's something that we can do at this point."	https://www.politico.com/story/2019/04/08/bernie-sanders-open-borders-1261392
Foreign_5	Hegemony	Growing defense / pentagon spending should be a priority	1	"We're going to invest in affordable housing, we're going to invest in public education, we're going to invest in rebuilding our crumbling infrastructure — not more nuclear weapons and never-ending wars."	https://www.businessinsider.com/bernie-sanders-promises-to-cut-and-reinvest-us-defense-spending-2019-3
Foreign_6	Hegemony	US and developing countries (China, India) should have same climate change standards despite the underlying different stages of development	1	Pass a Green New Deal to save American families money and generate millions of jobs by transforming our energy system away from fossil fuels to 100% energy efficiency and sustainable energy.	https://berniesanders.com/issues/combat-climate-change-and-pass-a-green-new-deal/
