ID	Subcategory	Question	Answer	Comment	Source
Econ_1	Trade	The government should increase tariffs on products imported into the country	5	Trade is good when it helps American workers and families — when it doesn’t, we need to change our approach. And unlike Trump, while I think tariffs are an important tool, they are not by themselves a long-term solution to our failed trade agenda and must be part of a broader strategy that this Administration clearly lacks.	https://medium.com/@teamwarren/trade-on-our-terms-ad861879feca
Econ_2	Fiscal	Current taxes on the rich are too low and should be increased	5	Warren's plan is to the proposal is to tax a family’s wealth above $50 million at 2 percent a year, with an additional surcharge of 1 percent on wealth over $1 billion.	https://www.nytimes.com/2019/02/18/upshot/warren-wealth-tax.html
Econ_3	Fiscal	We should reduce taxes on the middle class	3	"Costs will go up for billionaires and go up for corporations," Warren said. "For middle-class families, costs — total costs — will go down." Under the current Medicare for All proposals, middle-class people would have no premiums, deductibles or copays, and save a lot of money on health care," he said. "Whether they would pay more or less on net would depend on which taxes go up to pay for the plan."	https://www.npr.org/2019/07/30/746805856/the-democratic-debate-over-medicare-for-all-and-middle-class-taxes-explained
Econ_4	Fiscal	The government should address reducing the national debt through higher taxes or reduced spending	3	No info	
Econ_5	Industry	The government should support (through grants, tax breaks, subsidies) the clean energy sector	5	I’m proud to be an original supporter of the Green New Deal. That’s why I’ve proposed a historic $2 trillion investment in researching, developing, and manufacturing clean energy technology here in America	https://medium.com/@teamwarren/accelerating-the-transition-to-clean-energy-46af492d8c57
Econ_6	Industry	The government should break up the mega-tech firms (Alphabet, Facebook, Amazon) into smaller competing firms	5	My administration will make big, structural changes to the tech sector to promote more competition — including breaking up Amazon, Facebook, and Google.	https://medium.com/@teamwarren/heres-how-we-can-break-up-big-tech-9ad9e0da324c
Econ_7	Industry	I support a public single-payer healthcare system	5	Yes, I would support government-run insurance. Health care is a basic human right, and we fight for basic human rights. We need #MedicareForAll. 	https://twitter.com/ewarren/status/1144054259547299850
Econ_8	Industry	Private health insurance should be abolished in favor of a government-run plan	5	Warren raised her hand when asked whether she would get rid of private coverage in favor of a government-run plan during the first Democratic debate.	https://www.washingtonpost.com/graphics/politics/policy-2020/medicare-for-all/
Econ_9	Labor	The government should introduce $15/hr federally mandate minimum wage	5	We must raise the minimum wage to $15. Working families deserve living wages	https://twitter.com/ewarren/status/1148749126257074177
Econ_10	Labor	The government should require employers to pay men and women the same salary for the same job	5	While white women make 77 cents for every dollar a white man makes, black women make 61 cents, and Latina women make just 53. Now Sen. Elizabeth Warren (D-MA) has released a plan aimed at closing those gaps.	https://www.vox.com/2019/7/5/20683301/elizabeth-warren-wage-gap-gender-race-harris
Econ_11	Labor	The government should institute policies that sreangthen and encourage labor unions	5	The AFL-CIO's legislative scorecard says that, over her career, Warren has voted with unions 98 percent of the time	https://www.washingtonexaminer.com/policy/economy/warren-would-be-the-most-pro-union-nominee-in-generations
